"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220805440077","루나뷰티","","S2","수리·개인","S207","이용·미용","S20702","피부 관리실","S96113","피부 미용업","51","강원특별자치도","51130","원주시","51130330","지정면","5113033023","지정면","5113033023115250000","1","대지",1525,,"강원특별자치도 원주시 지정면 가곡리 1525","511303350535","강원특별자치도 원주시 지정면 가곡로",120,,"4213033023115250000000002","원주기업도시8단지호반베르디움","강원특별자치도 원주시 지정면 가곡로 120","220821","26352","","3","",127.874755340964,37.3815621103429
"MA010120220805439674","제이제이당구클럽","","R1","예술·스포츠","R103","스포츠 서비스","R10310","당구장","R91135","당구장 운영업","51","강원특별자치도","51790","화천군","51790250","화천읍","5179025022","화천읍","5179025022100440032","1","대지",44,32,"강원특별자치도 화천군 화천읍 하리 44-32","517903231023","강원특별자치도 화천군 화천읍 중앙로",10,3,"4279025022100440032000001","보떼,이니스프리","강원특별자치도 화천군 화천읍 중앙로 10-3","209804","24129","","2","",127.705206514075,38.10464971835
"MA010120220805440147","금강산장콘도텔","","I1","숙박","I101","일반 숙박","I10102","여관/모텔","I55102","여관업","51","강원특별자치도","51810","인제군","51810340","서화면","5181034021","서화면","5181034021106010004","1","대지",601,4,"강원특별자치도 인제군 서화면 천도리 601-4","518103233022","강원특별자치도 인제군 서화면 천도로",96,,"4281034021006010004015147","","강원특별자치도 인제군 서화면 천도로 96","252833","24603","","","",128.208058901811,38.2208461593262
"MA010120220805438826","루나인","","I1","숙박","I101","일반 숙박","I10102","여관/모텔","I55109","기타 일반 및 생활 숙박시설 운영업","51","강원특별자치도","51830","양양군","51830350","강현면","5183035039","강현면","5183035039100710008","1","대지",71,8,"강원특별자치도 양양군 강현면 전진리 71-8","518304505063","강원특별자치도 양양군 강현면 뒷나루1길",5,,"4283035039100710008020140","","강원특별자치도 양양군 강현면 뒷나루1길 5","215853","25004","","1","",128.622806631356,38.1279477815395
"MA010120220805438959","홍천해물찜","","I2","음식","I201","한식","I20112","해산물 구이/찜","I56111","한식 일반 음식점업","51","강원특별자치도","51720","홍천군","51720250","홍천읍","5172025029","홍천읍","5172025029104790001","1","대지",479,1,"강원특별자치도 홍천군 홍천읍 연봉리 479-1","517204475474","강원특별자치도 홍천군 홍천읍 연봉로9길",4,,"4272025029104790001029382","","강원특별자치도 홍천군 홍천읍 연봉로9길 4","250930","25146","","1","",127.878016899407,37.6814821341518
"MA010120220805438725","동미기획","","M1","과학·기술","M105","광고","M10502","옥외/전시 광고 대행업","M71391","옥외 및 전시 광고업","51","강원특별자치도","51170","동해시","51170510","천곡동","5117010200","평릉동","5117010200104860008","1","대지",486,8,"강원특별자치도 동해시 평릉동 486-8","511704463243","강원특별자치도 동해시 평원5길",6,6,"4217010200104860008000001","","강원특별자치도 동해시 평원5길 6-6","240809","25752","","1","",129.118476549014,37.5292659130945
"MA010120220805439225","원조남원주가든","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","51","강원특별자치도","51130","원주시","51130660","무실동","5113011500","무실동","5113011500108300016","1","대지",830,16,"강원특별자치도 원주시 무실동 830-16","511304457500","강원특별자치도 원주시 은행정길",78,,"4213011500108300016036004","","강원특별자치도 원주시 은행정길 78","220150","26395","","","",127.925310025144,37.3136249497353
"MA010120220805439405","필그린인카운터춘천동부지사","","G2","소매","G205","식료품 소매","G20508","건강보조식품 소매업","G47217","건강 보조식품 소매업","51","강원특별자치도","51110","춘천시","51110675","강남동","5111012600","칠전동","5111012600102330000","1","대지",233,,"강원특별자치도 춘천시 칠전동 233","511103218030","강원특별자치도 춘천시 옛경춘로",446,,"4211012600102330000000001","","강원특별자치도 춘천시 옛경춘로 446","200220","24459","","","",127.705178689484,37.8440767353734
"MA010120220805441984","원샷","","I2","음식","I211","주점","I21104","요리 주점","I56219","기타 주점업","51","강원특별자치도","51210","속초시","51210570","노학동","5121010600","교동","5121010600107600004","1","대지",760,4,"강원특별자치도 속초시 교동 760-4","512104469041","강원특별자치도 속초시 만천1길",7,,"4221010600107600004012459","","강원특별자치도 속초시 만천1길 7","217804","24852","","","",128.575215066222,38.1984124869736
"MA010120220805441643","이모네한식","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","51","강원특별자치도","51110","춘천시","51110600","후평1동","5111012000","후평동","5111012000108470007","1","대지",847,7,"강원특별자치도 춘천시 후평동 847-7","511104454821","강원특별자치도 춘천시 후석로393번길",32,,"4211012000108470007032571","","강원특별자치도 춘천시 후석로393번길 32","200959","24254","","1","",127.743456165922,37.8840369359197
